Titulo,Categoria,Autor,id,Numero_de_Visitas,Votos_Positivos,Votos_Negativos,URL nuevo portal,votos_totales
"Costos por evaluación y seguimiento para tala, pod",Ambiente,Departamento Administrativo de Gestion del Medio Ambiente,75395,37,0,0,https://www.datos.gov.co/dataset/dgck-qmm6,
"Costos por evaluación y seguimiento para tala, pod",Ambiente,Departamento Administrativo de Gestion del Medio Ambiente,75396,42,2,0,https://www.datos.gov.co/dataset/6w9b-nyd5,
Listado de Entidades que publican Datos Abiertos ,Tecnologías de la Información y las Comunicaciones,Ministerio de tecnologías de información y las comunicaciones,63776,2338,23,0,https://www.datos.gov.co/dataset/p8dd-xmgv,
Códigos Postales Nacionales,Geografía,Postales472,64292,228,0,0,https://www.datos.gov.co/dataset/8gxe-gztc,
"Ecosistemas, Indicadores Ambientales",Ambiente,"INSTITUTO DE HIDROLOGÍA, METEOROLOGÍA Y ESTUDIOS AMBIENTALES",63577,401,0,0,https://www.datos.gov.co/dataset/ufw3-bkjf,
Entidades para el recaudo de facturación prepago,Datos Básicos,EPM INVERSIONES S.A.,75290,34,0,0,https://www.datos.gov.co/dataset/ttpd-ykae,
CONTRATACION PRIMER SEMESTRE 2016,Económica y Comercial,Superintendencia de servicios,75404,111,0,0,https://www.datos.gov.co/dataset/3sjb-gchw,
Histórico de personas desmovilizadas,Estadísticas,Agencia Colombiana para la Reintegración,63480,6184,51,42,https://www.datos.gov.co/dataset/uea5-is6n,
Auditoría y Gestión del Riesgo,Datos Básicos,Agencia ITRC,75238,296,2,0,https://www.datos.gov.co/dataset/m3uj-9ka9,
Procesos de Contratación Agencia Logística FF.MM,Defensa,Agencia Logística de las fuerzas Militares,63548,361,3,0,https://www.datos.gov.co/dataset/vdcy-9rhg,
Contratación Pública SECOP I - 2015,Contratación Pública,Agencia Nacional de Contratación Pública COLOMBIA COMPRA EFICIENTE,63800,46837,36,1397,https://www.datos.gov.co/dataset/8u9j-2szv,
Contratación Pública SECOP II – 2015,Contratación Pública,Agencia Nacional de Contratación Pública COLOMBIA COMPRA EFICIENTE,63801,5485,3,460,https://www.datos.gov.co/dataset/ixjz-h9pu,
Conceptos Previos de Extensión de Jurisprudencia,Legislación,Agencia Nacional de Defensa Juridica del Estado,74306,102,0,0,https://www.datos.gov.co/dataset/85s7-mgmm,
Tabla de Costos de Peajes,Movilidad y Transporte,Agencia Nacional de Infraestructura,74297,524,3,0,https://www.datos.gov.co/dataset/7mxx-mdmr,
TRAFICO VEHICULAR POR CONCESION 2003 A 2015,Movilidad y Transporte,Agencia Nacional de Infraestructura,75137,675,9,0,https://www.datos.gov.co/dataset/6pnw-fzxw,
Listado de Concesiones Carretero ANI,Movilidad y Transporte,Agencia Nacional de Infraestructura,74635,2109,31,31,https://www.datos.gov.co/dataset/kv5g-rqbi,
Listado de Concesiones Aeropuertos,Movilidad y Transporte,Agencia Nacional de Infraestructura,74634,632,1,0,https://www.datos.gov.co/dataset/96fr-jhyq,
Listado de Concesiones Ferreo,Movilidad y Transporte,Agencia Nacional de Infraestructura,74636,298,2,0,https://www.datos.gov.co/dataset/vvuh-6afm,
Listado de Concesiones Puertos Agencia Nacional de,Movilidad y Transporte,Agencia Nacional de Infraestructura,74638,503,1,0,https://www.datos.gov.co/dataset/5fqt-hs7d,
Matriz Informacion Reservada Y Clasificada,Movilidad y Transporte,Agencia Nacional de Infraestructura,74952,210,0,0,https://www.datos.gov.co/dataset/hq7m-szmn,
Registro Único de Comercializadores Mineros,Minas y Energía,Agencia Nacional de Minería,63454,14748,16,9,https://www.datos.gov.co/dataset/tvwp-62pe,
Áreas liberadas de propuestas de contratos de concesión,Geografía,Agencia Nacional de Minería,30903,8749,27,25,https://www.datos.gov.co/dataset/fque-n37u,
Puntos de medición RNI-Bogotá,Tecnologías de la Información y las Comunicaciones,Agencia Nacional del Espectro,63545,2776,3,16,https://www.datos.gov.co/dataset/jrdb-58q5,
Cooperación Sur-Sur y Triangular ,Datos Administrativos,Agencia Presidencial de Cooperación InterNacional de Colombia,20742,3190,4,7,https://www.datos.gov.co/dataset/vzuh-48m4,
Gestión de Demanda de Cooperación ,Función Pública,Agencia Presidencial de Cooperación InterNacional de Colombia,10587,2845,3,0,https://www.datos.gov.co/dataset/uyw4-2769,
Coord Interinstitucional - Prioridades Territorios,Función Pública,Agencia Presidencial de Cooperación InterNacional de Colombia,20737,1883,3,4,https://www.datos.gov.co/dataset/rkxg-x7ri,
Coordinación Interinstitucional ,Función Pública,Agencia Presidencial de Cooperación InterNacional de Colombia,10504,1105,2,1,https://www.datos.gov.co/dataset/gta8-a2hb,
Oferta Hidrica Disponible Mes Abril,Ambiente,Aguas de Manizales SA ESP,62729,334,11,0,https://www.datos.gov.co/dataset/r48v-i6gx,
Oferta Hidrica Disponible Mes Agosto,Ambiente,Aguas de Manizales SA ESP,63441,87,1,0,https://www.datos.gov.co/dataset/hp9t-vdmb,
Oferta Hidrica Disponible Mes Diciembre,Ambiente,Aguas de Manizales SA ESP,64562,130,1,0,https://www.datos.gov.co/dataset/i7d5-r35q,
Oferta Hidrica Disponible Mes Enero,Ambiente,Aguas de Manizales SA ESP,63444,88,0,0,https://www.datos.gov.co/dataset/ergf-xk3k,
Oferta Hidrica Disponible Mes de Enero,Ambiente,Aguas de Manizales SA ESP,74593,50,1,0,https://www.datos.gov.co/dataset/nhh6-am4t,
Oferta Hidrica Disponible Mes Julio,Ambiente,Aguas de Manizales SA ESP,63440,80,0,0,https://www.datos.gov.co/dataset/yd4k-wbft,
Oferta Hidrica Disponible Mes Junio,Ambiente,Aguas de Manizales SA ESP,63034,109,3,0,https://www.datos.gov.co/dataset/s52q-9chx,
